wallet,smart_money_score,realized_pnl_usd,total_bought,total_sold,net_position,distinct_tokens_traded,timing_score,funding_source,in_funding_cluster,cluster_size,flagged_coordinated,flagged_fresh_big_buy
0x03655ed94b79a2acf6c6d4f1530480f7c481481c,0.1515,-19459.6869076947,170001.38926787442,70000.0,100001.38926787442,1.0,0.0,unknown,False,1.0,True,True
0x107b45fd7cd861bfd206312ce2384dafbb2ab083,0.1515,0.0,99750.0,0.0,99750.0,1.0,0.0,not_analyzed,False,1.0,True,True
0xa3537e76224e0fb26ce23ddd4b8977b0255feee0,0.1514,0.0,91486.20501558029,0.0,91486.20501558029,1.0,0.0,not_analyzed,False,1.0,True,True
0x73d01f51a61b6ff35ce360d8d8546ba846c550ec,0.1513,0.0,86657.0,0.0,86657.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x73f9c6fb53d5c22d6b94fdc3a81cadf4cccf273c,0.1513,0.0,82753.36255148595,0.0,82753.36255148595,1.0,0.0,not_analyzed,False,1.0,True,True
0x15577aec252f1af0079df6981924c7877b9b0839,0.1512,-15402.525284770907,1258417.2109423298,1181153.1314858417,77264.07945648814,1.0,0.0,not_analyzed,False,1.0,True,True
0x9d2e5d1b9f6f96d0dda432458432da580aa1bd2b,0.1512,0.0,100000.0,20000.0,80000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x9fe8c59de1b386c3513c297fbd5a653609a930e0,0.1512,0.0,80000.0435,0.0,80000.0435,1.0,0.0,not_analyzed,False,1.0,True,True
0xa25ad5491169382fd7332bd45f7bb5f18d22e707,0.1512,0.0,178117.3498255065,98117.3498255065,80000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0xee49c088c007fdcd9d5c8385df5a1b61779a8c3b,0.1512,0.0,74879.90931207,0.0,74879.90931207,1.0,0.0,not_analyzed,False,1.0,True,True
0x18067b978670f0b0d4507d126897c154b6ca59a3,0.151,0.0,62950.2481,0.0,62950.2481,1.0,0.0,not_analyzed,False,1.0,True,True
0xf0644ca927e402b328bcd7b70d332cd90f7ef92e,0.151,0.0,66642.09460349937,291.0,66351.09460349937,1.0,0.0,not_analyzed,False,1.0,True,True
0x88b1f6589157f062c992c42348e90beb1e3e0bc4,0.151,0.0,66334.9716347843,0.0,66334.9716347843,1.0,0.0,not_analyzed,False,1.0,True,True
0x329e1d600304228ceb98d2dab74052b91d589b7c,0.151,0.0,66865.15,0.0,66865.15,1.0,0.0,not_analyzed,False,1.0,True,True
0xaa77632bdc78b22762f5599a5769b9b9e6cc732b,0.151,0.0,64000.0,0.0,64000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x7c35fbc468ef1b4b762f0a749ec1e77ca9b46d15,0.1509,0.0,59554.52717702546,0.0,59554.52717702546,1.0,0.0,not_analyzed,False,1.0,True,True
0x9c889b5fe365f4cf8b87c816dac0e50f5c91b586,0.1509,0.0,56515.0,0.0,56515.0,1.0,0.0,not_analyzed,False,1.0,True,True
0xa7f954bc3439a19c0e0f79ee4c6ed022409c8509,0.1509,0.0,161963.29784044,106754.0801,55209.21774044,1.0,0.0,not_analyzed,False,1.0,True,True
0x2abf3c511d4dbe16a475a3bc0fc2e575863de1f4,0.1509,0.0,60000.0,0.0,60000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0xca4f9af9fa880ff8eb30507000c005c3916a00cf,0.1508,0.0,50064.173,60.0,50004.173,1.0,0.0,not_analyzed,False,1.0,True,True
0x7beb03cb5bdd4f090d3dafc4d44169a399a02cf4,0.1508,0.0,50000.0,0.0,50000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x01f9460aebe191129f18490beab37da21a3a39d0,0.1508,0.0,50500.9452,0.0,50500.9452,1.0,0.0,not_analyzed,False,1.0,True,True
0xc09cb67eb0be109a41cb44d4e394dd9a9c3a6325,0.1507,-11787.268056908637,75000.0,27500.0,47500.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x5dce4b9393e89ad390b930956ddfa0bfe66e6faa,0.1506,0.0,4238803.716692393,4197399.674515349,41404.042177043855,1.0,0.0,not_analyzed,False,1.0,True,True
0x9883c4085015684664e22d2b7ffd3ff4516905d2,0.1505,0.0,92245.45557945303,63138.0,29107.45557945303,1.0,0.0,not_analyzed,False,1.0,True,True
0xa4ae9a785d338e72bc1e436feec0da76a38559f7,0.1505,0.0,100000.0,70199.397332,29800.602668000007,1.0,0.0,not_analyzed,False,1.0,True,True
0x34a769b3df7902fc25c67d05af2cfc407525ad37,0.1504,0.0,130510.0,102943.75,27566.25,1.0,0.0,not_analyzed,False,1.0,True,True
0xd18198e8cc10bc9980730fefdd5c96cc62632170,0.1504,-1696.950581455963,60995.9820467673,37005.0,23990.982046767298,1.0,0.0,not_analyzed,False,1.0,True,True
0xd29be543c219087b61a95250e62889ba1491512f,0.1503,0.0,100000.0,77568.47580443737,22431.524195562626,1.0,0.0,not_analyzed,False,1.0,True,True
