date,inflow_tokens,outflow_tokens,net_flow_tokens,signal
2025-01-13,345757.52636942617,369542.7237771675,-23785.197407741332,bullish_pressure (net outflow from exchanges)
2025-01-14,180777.80088104363,116691.81210514228,64085.98877590135,bearish_pressure (net inflow to exchanges)
2025-01-15,156819.03423885343,261691.14123695358,-104872.10699810015,bullish_pressure (net outflow from exchanges)
2025-01-16,227948.13774277497,131699.57125065816,96248.5664921168,bearish_pressure (net inflow to exchanges)
2025-01-17,307746.1147021757,351650.2957835634,-43904.18108138768,bullish_pressure (net outflow from exchanges)
2025-01-18,525471.1066955314,381690.93260640965,143780.17408912175,bearish_pressure (net inflow to exchanges)
2025-01-19,543164.3409136182,277489.39716447366,265674.94374914456,bearish_pressure (net inflow to exchanges)
2025-01-20,700238.09108563,398949.33520206215,301288.75588356785,bearish_pressure (net inflow to exchanges)
2025-01-21,554005.251484744,652416.5520456777,-98411.30056093365,bullish_pressure (net outflow from exchanges)
2025-01-22,167231.045518712,227693.28605752008,-60462.24053880808,bullish_pressure (net outflow from exchanges)
2025-01-23,480800.47323464754,286161.54077231704,194638.9324623305,bearish_pressure (net inflow to exchanges)
2025-01-24,212656.89429434275,173707.4633783226,38949.43091602015,bearish_pressure (net inflow to exchanges)
2025-01-25,470652.87563699135,372379.0706755416,98273.80496144976,bearish_pressure (net inflow to exchanges)
2025-01-26,359015.0571828342,446546.28285275685,-87531.22566992266,bullish_pressure (net outflow from exchanges)
2025-01-27,504039.76929927105,404865.33209909435,99174.4372001767,bearish_pressure (net inflow to exchanges)
2025-01-28,250876.3429506751,280743.8064699822,-29867.463519307086,bullish_pressure (net outflow from exchanges)
2025-01-29,196843.33665172855,140181.46667976113,56661.86997196742,bearish_pressure (net inflow to exchanges)
2025-01-30,251758.60201069972,274370.1382678017,-22611.53625710201,bullish_pressure (net outflow from exchanges)
2025-01-31,190145.27978109271,237947.42728019168,-47802.14749909897,bullish_pressure (net outflow from exchanges)
2025-02-01,328240.1797303685,334247.31112921,-6007.131398841506,bullish_pressure (net outflow from exchanges)
2025-02-02,506401.54443779506,306933.27091338806,199468.273524407,bearish_pressure (net inflow to exchanges)
2025-02-03,840727.4157687076,844630.980049149,-3903.56428044138,bullish_pressure (net outflow from exchanges)
2025-02-04,276948.1595785952,262866.94576279336,14081.213815801835,bearish_pressure (net inflow to exchanges)
2025-02-05,778062.044705018,841012.5769422731,-62950.532237255014,bullish_pressure (net outflow from exchanges)
2025-02-06,1997708.8053230336,1773526.890165459,224181.9151575747,bearish_pressure (net inflow to exchanges)
2025-02-07,405417.0289884904,268047.9015290231,137369.12745946733,bearish_pressure (net inflow to exchanges)
2025-02-08,255870.90873427037,457350.066290586,-201479.15755631565,bullish_pressure (net outflow from exchanges)
2025-02-09,119483.19323904993,178486.2127969633,-59003.01955791336,bullish_pressure (net outflow from exchanges)
2025-02-10,299358.47938837105,280103.22890987626,19255.250478494796,bearish_pressure (net inflow to exchanges)
2025-02-11,239597.4756389148,387187.9745522446,-147590.4989133298,bullish_pressure (net outflow from exchanges)
2025-02-12,115598.03436762797,133726.0483363151,-18128.01396868714,bullish_pressure (net outflow from exchanges)
2025-02-13,177732.64233481055,266119.48790312227,-88386.84556831172,bullish_pressure (net outflow from exchanges)
2025-02-14,182810.5646202736,177730.6886260156,5079.875994258007,bearish_pressure (net inflow to exchanges)
2025-02-15,74424.42194902744,64234.87972796241,10189.542221065029,bearish_pressure (net inflow to exchanges)
